1.5440 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
59.9653 	EXP 	grating: autoDraw = False
60.3360 	EXP 	New trial (rep=27, index=0): None
60.3389 	DATA 	Keypress: up
60.3487 	EXP 	fixation: autoDraw = False
60.3487 	EXP 	grating: autoDraw = False
60.3487 	EXP 	grating: ori = -5.0
60.3487 	EXP 	fixation: autoDraw = True
61.3489 	EXP 	fixation: autoDraw = False
61.3489 	EXP 	grating: autoDraw = True
61.6488 	EXP 	grating: autoDraw = False
61.8529 	EXP 	New trial (rep=28, index=0): None
61.8556 	DATA 	Keypress: down
61.8655 	EXP 	fixation: autoDraw = False
61.8655 	EXP 	grating: autoDraw = False
61.8655 	EXP 	grating: ori = -3.0
61.8655 	EXP 	fixation: autoDraw = True
62.8662 	EXP 	fixation: autoDraw = False
62.8662 	EXP 	grating: autoDraw = True
63.1653 	EXP 	grating: autoDraw = False
63.3361 	EXP 	New trial (rep=29, index=0): None
63.3390 	DATA 	Keypress: down
63.3489 	EXP 	fixation: autoDraw = False
63.3489 	EXP 	grating: autoDraw = False
63.3489 	EXP 	grating: ori = 0.0
63.3489 	EXP 	fixation: autoDraw = True
64.3493 	EXP 	fixation: autoDraw = False
64.3493 	EXP 	grating: autoDraw = True
64.6487 	EXP 	grating: autoDraw = False
65.0035 	EXP 	New trial (rep=30, index=0): None
65.0066 	DATA 	Keypress: up
65.0155 	EXP 	fixation: autoDraw = False
65.0155 	EXP 	grating: autoDraw = False
65.0155 	EXP 	grating: ori = -2.0
65.0155 	EXP 	fixation: autoDraw = True
66.0158 	EXP 	fixation: autoDraw = False
66.0158 	EXP 	grating: autoDraw = True
66.3155 	EXP 	grating: autoDraw = False
66.6538 	EXP 	New trial (rep=31, index=0): None
66.6567 	DATA 	Keypress: up
66.6656 	EXP 	fixation: autoDraw = False
66.6656 	EXP 	grating: autoDraw = False
66.6656 	EXP 	grating: ori = 0.0
66.6656 	EXP 	fixation: autoDraw = True
67.6656 	EXP 	fixation: autoDraw = False
67.6656 	EXP 	grating: autoDraw = True
67.9657 	EXP 	grating: autoDraw = False
68.2532 	EXP 	New trial (rep=32, index=0): None
68.2561 	DATA 	Keypress: up
68.2657 	EXP 	fixation: autoDraw = False
68.2657 	EXP 	grating: autoDraw = False
68.2657 	EXP 	grating: ori = 3.0
68.2657 	EXP 	fixation: autoDraw = True
69.2654 	EXP 	fixation: autoDraw = False
69.2654 	EXP 	grating: autoDraw = True
69.5658 	EXP 	grating: autoDraw = False
70.0031 	EXP 	New trial (rep=33, index=0): None
70.0059 	DATA 	Keypress: down
70.0157 	EXP 	fixation: autoDraw = False
